№ в ГТИБД,Название,Класс,Кол-во комнат,Кол-во спальных мест,Адрес (ручной),Адрес (авто),Город (авто),Район,Округ,Улица,Номер дома,Ближайшее метро,Линия ближайшего метро,Расстояние до ближайшего метро (м),Широта ближайшего метро,Долгота ближайшего метро,Телефоны,Факсы,Официальный сайт,Электронная почта,Примечания,Услуги,Широта объекта,Долгота объекта
11944,ИЖОРА,3,43,75,"196641, Санкт-Петербург, пос. Металлострой, Железнодорожная ул., 11-а ","Санкт-Петербург, поселок Металлострой, Железнодорожная улица, 11А",Санкт-Петербург,Колпинский,,Железнодорожная улица,11А,,,1.0,,,+7(812)4642576;,,http://izhora-spb.ru ,info@izhora-spb.ru ,"Высокоскоростной интернет WI-FI
Чай при размещении в день заезда
Пользование утюгом
Хранение громоздких вещей в камере хранения
Вызов такси
Вызов скорой помощи
Пользование медицинской аптечкой
Доставка корреспонденции в номер
Побудка к определенному времени
Предоставление иголок, ниток
Парковка автомашин без охраны для проживающих в гостинице
Спутниковое телевидение
Оплата услуг по кредитным картам
Кафе","Аренда кафе-ресторана
Аренда конференц -зала
Аренда комнаты переговоров
Ксерокопирование: односторонее/двухсторонее
Факс
Доставка заказа в номер из кафе-ресторана, буфета
Завтрак ""Шведский стол""
Питание ""Полупансион"" (Завтрак+ужин) в кафе
Карта ""Любимый гость""
Пакетное предложение ""Подарочный сертификат ""Свадебный""
 Пакетное предложение ""Конференц-пакет ""Ижора-Бизнес"" (от 10 чел)
Пакетное предложение ""Конференц-пакет ""Ижора-Бизнес ДЕНЬ"" (от 10 чел)
Оформление регистрационных бланков о прибытии иностранных граждан (продление срока, дети)",59.807722,30.569921
11945,ИНЖЭКОН,3,64,64," 191119, г. Санкт-Петербург,  ул.Социалистическая, 16, тел. ","Санкт-Петербург, Центральный район, Социалистическая улица, 16",Санкт-Петербург,Центральный,,,,Звенигородская,Фрунзенско-Приморская линия,,59.922282,30.335631,+7(812)7646906 ;,,,,"Вызов такси круглосуточно
Предоставляется услуга «Будильник»
Предоставление справочной информации о Санкт-Петербурге
Интернет Wi-Fi
Камера хранения
Услуги прачечной самообслуживания
Использование гладильной комнаты
Предоставление чайника в номер
Сейфовые ячейки",,59.922585,30.34386
11946,КАРЕЛИЯ,3,209,416,"195067, Санкт-Петербург, ул. Маршала Тухачевского, 27, корп. 2 
 Расстоние до аэропорта: 35 мин ( по КАД)
Расстоние до центра : 20 мин","Санкт-Петербург, улица Маршала Тухачевского, 27",Санкт-Петербург,Калининский,,улица Маршала Тухачевского,27,,,1.0,,,+7(812)7184048; (800)7002668;,,http://karelia.spb.ru,info@karelia.spb.ru," • завтрак
 • Wi-Fi
 • сейф
 • спутниковое телевидение
 • кондиционер","•бар/ресторан
•6 конференц-зала нот 10 до 13- чел человек
•бизнес - центр
•салон красоты
•служба консьержей
•прачечная 
•гладильная комната
•бесплатный Wi-Fi
•охраняемая автостоянка
•банкоматы
•вызов такси и автобусов
•камеры хранения
•круглосуточная охрана
сувенирный киоск
room srvice",59.970042,30.425867
11947,КИЕВСКАЯ,3,126,213,"192202, Санкт-Петербург, Днепропетровская ул., 49  ","Санкт-Петербург, Днепропетровская улица, 49",Санкт-Петербург,Фрунзенский район,муниципальный округ Волковское,Днепропетровская улица,49,Обводный Канал,Фрунзенско-Приморская линия,,59.914583,30.349636,+7(812)7664703; +7(812)6111028;,,http://kievskaia.spb.ru,hotel@kievskaia.spb.ru,бесплатный Wi-Fi                                                            чайник                                                                             фен                                                 ,"Ресторан
Собственная пекарня
Конференц-зал
Банкетный зал
Русский бильярд
Интернет
Сейф
Отдел бронирования
Вызов такси и трансфер
Парковка
Платная автостоянка
Банкомат
Терминал оплаты
Доп. услуги горничной
Сувенирный киоск",59.912734,30.358484
11948,КИЕВСКАЯ,3,142,251," 192202, Санкт-Петербург, Курская ул., 40 ","Санкт-Петербург, Курская улица, 40",Санкт-Петербург,Фрунзенский район,муниципальный округ Волковское,Курская улица,40,Обводный Канал,Фрунзенско-Приморская линия,,59.914583,30.349636,+7(812)6111028;,,http://kievskaia.spb.ru,hotel@kievskaia.spb.ru,бесплатный Wi-Fi                                                            чайник                                                                             фен                                                 ,"Ресторан
Собственная пекарня
Конференц-зал
Банкетный зал
Русский бильярд
Интернет
Сейф
Отдел бронирования
Вызов такси и трансфер
Парковка
Платная автостоянка
Банкомат
Терминал оплаты
Доп. услуги горничной
Сувенирный киоск",59.910898,30.356795
11949,КОНГРЕСС-КОМПЛЕКС,3,116,116,"Санкт-Петербург, Пушкин, ул. Радищева, 4, тел. ","Санкт-Петербург, Пушкин, улица Радищева, 4",Санкт-Петербург,Пушкинский район,,улица Радищева,4,,,1.0,,,+7(812)4495438;,,,,"спутниковое телевидение
междугородная и международная телефонная связь
доступ в интернет по Wi-Fi",конгресс зал,59.71018,30.408008
11950,ЛАДОГА ОТЕЛЬ,3,121,186,"195213, Санкт-Петербург, пр. Шаумяна, 26, лит. А  ","Санкт-Петербург, проспект Шаумяна, 26",Санкт-Петербург,Красногвардейский,,проспект Шаумяна,26,Новочеркасская,Правобережная линия,,59.929006,30.41188,+7(812)7186644;,,http://ladogahotel.ru,info@ladogahotel.ru,телевизор (спутниковое и кабельное ТВ)                                   телефон с международным и междугородным доступом                                                                сейф,"3 сауны с мини-бассейнами.
Салон красоты L’oreal expert.
Современный лобби-бар.
Отлично оборудованный конференц-зал на 70 человек, трансформирующийся в трех вариантах.
Ресторан с русской и европейской кухней.",59.928672,30.420225
11951,ЛДМ-ОТЕЛЬ,3,235,,"197376, Санкт-Петербург, ул. Профессора Попова, 47  ","Санкт-Петербург, улица Профессора Попова, 47",Санкт-Петербург,Петроградский,,улица Профессора Попова,47,Чкаловская,Фрунзенско-Приморская линия,,59.961242,30.291937,+7(812)2343278;,,http://ldm.ru,ldmhotel@ldm.ru,"Узел связи
Смена полотенец (по нормам)
Услуги питания (завтрак)
Багажная комната
Смена постельного белья (по нормам)
Комната бытового обслуживания
Вызов скорой помощи, пользование аптечкой
Вызов такси
Служба приема гостей (круглосуточно)
Уборка номера горничной (ежедневно)
Утренняя побудка (по просьбе)
Вручение корреспонденции гостям
Помещение для просмотра телепередач
Туристическая информация
Уборка кроватей горничной
Wi-Fi интернет в общественных местах","Факс
Сканер
Отправка информации по эл. почте
Набор текста/таблиц
Бронирование билетов
Справка о проживании
Сейф
Посуда фарфоровая
Посуда металлическая, столовые приборы
Утюг
Прачечная
Фен
Постельное белье
Банные принадлежности ",59.971181,30.287068
11952,МАТИСОВ ДОМИК,3,53,91,"г.Санкт-Петербург, наб.реки Пряжки, д. 3/1","Санкт-Петербург, набережная реки Пряжки, 3",Санкт-Петербург,Адмиралтейский,,набережная реки Пряжки,3,Василеостровская,Невско-Василеостровская линия,,59.942516,30.278274,+7(812)4950242;,,http://matisov.com,hotel@matisov.com,"• завтрак - шведский стол
 • Wi-Fi
 • сейф
 • спутниковое телевидение; бесплатная парковка
 •кондициаонер , тапочки, халаты в апартаментах","•Ресторан
• прокат велосипедов
•конференц-зал на 30 персон
•служба консьержей
•прачечная и химчистка
•гладильная комната
•бесплатный Wi-Fi
•охраняемая автостоянка
•вызов такси
•предоставление автотранспорта с водителем
•камера хранения
•круглосуточная стойка регистрации",59.924943,30.279989
11953,МОРСКОЙ ВОКЗАЛ,3,130,240,"199106, Санкт-Петербург, пл. Морской Славы, 1  ","Санкт-Петербург, площадь Морской Славы, 1",Санкт-Петербург,Василеостровский,,площадь Морской Славы,1,Приморская,Невско-Василеостровская линия,2969.0,59.948456,30.234633,+7(812)3226040;,,,complexk@rambler.ru,"завтрак, церковь/Храм, Магазины на территории, Номера для некурящих, Лифт, Отопление, Курение на всей территории объекта размещения запрещено, Места для курения","Доставка еды и напитков в номер, Торговый автомат (напитки), Торговый автомат (закуски), Прокат автомобилей, Трансфер (за дополнительную плату), Круглосуточная стойка регистрации, Обмен валюты, Экскурсионное бюро, Услуги по продаже билетов, Камера хранения багажа, Банкомат на территории отеля, Услуги консьержа, Индивидуальная регистрация заезда/отъезда, Прачечная, Услуги по глажению одежды, Дневная уборка номера, Конференц-зал/Банкетный зал, Бизнес-центр, Факс/Ксерокопирование, Сувенирный магазин, Люкс для новобрачных",59.925818,30.234876
11954,НЕВСКИЙ ОТЕЛЬ ГРАНД,3,113,165,"191186, г.С-Петербург, ул.Б.Конюшенная, 10       ; до Пулково 1 - 21 км; до центра СПб - 0.","Санкт-Петербург, Большая Конюшенная улица, 10",Санкт-Петербург,Адмиралтейский,,Большая Конюшенная улица,10,Невский Проспект,Московско-Петроградская линия,,59.935579,30.327025,+7(812)7033860;,,http://hon.ru  ,info@hon.ru  ,"• Wi-Fi
 • сейф
 • кондициони-рование воздуха","•1 конференц-зал на 30 человек
•служба консьержей
•прачечная и химчистка
•бесплатный Wi-Fi
•предоставление автотранспорта с водителем
•вызов такси и автобусов
•камеры хранения
•круглосуточная охрана",59.937553,30.32336
